epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,inf_time_ms
1,2.0751,0.2132,1.992,0.3384,96.05,3.7215
2,1.9921,0.3577,1.9938,0.3967,94.5,3.697
3,1.9398,0.455,1.8627,0.5534,93.0,3.6196
4,1.9013,0.5202,1.8425,0.5898,91.45,3.6193
5,1.8771,0.5556,1.8356,0.5888,91.14,3.6249
6,1.8544,0.5916,1.7895,0.6642,90.71,3.6166
7,1.8382,0.6164,1.7712,0.7236,90.3,3.6252
8,1.8261,0.6389,1.7734,0.6778,90.38,3.6128
9,1.8175,0.6492,1.7749,0.6929,89.96,3.5973
10,1.8064,0.6704,1.7482,0.7486,89.84,3.5957
11,1.8036,0.6714,1.8562,0.5653,90.0,3.5819
12,1.7928,0.6889,1.7795,0.7095,90.72,3.5861
13,1.7867,0.6973,1.7358,0.7428,90.04,3.602
14,1.7783,0.7094,1.7383,0.7611,90.05,3.5776
15,1.7732,0.7142,1.7138,0.7829,90.05,3.5759
16,1.7647,0.7303,1.7448,0.734,90.02,3.5839
17,1.7569,0.7402,1.7003,0.8095,89.65,3.5893
18,1.7455,0.7543,1.6994,0.786,89.84,3.5801
19,1.7331,0.7748,1.7351,0.7501,89.84,3.5885
20,1.7241,0.7844,1.6787,0.8261,90.35,3.5904
21,1.7101,0.806,1.6639,0.8548,90.1,3.5877
22,1.7021,0.8204,1.6541,0.8657,89.83,3.5917
23,1.6888,0.8386,1.6422,0.8813,90.23,3.5818
24,1.6768,0.8531,1.6442,0.8678,89.77,3.5906
25,1.665,0.8693,1.619,0.9105,89.76,3.5855
26,1.6556,0.8842,1.5933,0.9355,89.88,3.5697
27,1.6482,0.8918,1.5836,0.9584,89.99,3.5798
28,1.6383,0.9053,1.5825,0.9547,89.65,3.6018
29,1.6329,0.9134,1.5799,0.9584,89.89,3.5946
30,1.6325,0.9133,1.5789,0.9625,89.51,3.579
