epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,inf_time_ms
1,2.0683,0.1995,1.9537,0.3227,112.48,1.6601
2,1.9195,0.3911,1.8388,0.4643,82.93,1.5397
3,1.8085,0.5354,1.7563,0.5908,83.32,1.5569
4,1.7283,0.6373,1.6889,0.6627,82.71,1.5501
5,1.6761,0.6993,1.6029,0.7418,83.67,1.5818
6,1.6371,0.7399,1.5594,0.7793,82.59,1.5698
7,1.6084,0.7661,1.5438,0.81,83.31,1.5626
8,1.5833,0.7959,1.5379,0.811,82.14,1.5608
9,1.5668,0.8117,1.5083,0.836,83.18,1.5546
10,1.5515,0.823,1.4755,0.8699,82.85,1.6457
11,1.5337,0.8439,1.46,0.8834,82.37,1.5365
12,1.5252,0.8497,1.466,0.887,84.04,1.5575
13,1.5145,0.8608,1.4534,0.8865,82.54,1.5897
14,1.5016,0.873,1.4466,0.9021,84.23,1.5437
15,1.5016,0.8715,1.4339,0.9162,83.29,1.5527
16,1.4886,0.8851,1.4323,0.9178,83.42,1.5617
17,1.4892,0.8827,1.436,0.912,82.12,1.5485
18,1.4787,0.8936,1.4238,0.9209,81.84,1.5462
19,1.4737,0.8966,1.4186,0.9287,80.68,1.5599
20,1.4729,0.8954,1.4232,0.923,84.74,1.5836
21,1.4711,0.897,1.4211,0.9245,83.03,1.555
22,1.4683,0.9026,1.4141,0.936,82.21,1.5324
23,1.4628,0.9075,1.4033,0.9438,83.56,1.5666
24,1.4616,0.9101,1.409,0.9396,83.48,1.5599
25,1.4617,0.9058,1.4078,0.9381,81.93,1.5604
26,1.4583,0.9105,1.405,0.9401,84.46,1.5534
27,1.4584,0.9103,1.4079,0.9401,81.97,1.5442
28,1.4574,0.9123,1.4075,0.9401,84.53,1.5625
29,1.4597,0.9093,1.4057,0.9407,84.63,1.5617
30,1.4557,0.9127,1.413,0.9349,84.71,1.5566
