epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,inf_time_ms
1,1.7062,0.3702,1.2018,0.5799,76.73,1.864
2,1.0374,0.625,0.8065,0.7137,70.08,1.345
3,0.7998,0.7129,0.5464,0.8001,69.53,1.3559
4,0.6919,0.755,0.4996,0.8214,69.77,1.3949
5,0.6152,0.7765,0.4753,0.8183,69.85,1.3725
6,0.5554,0.8001,0.3871,0.8605,69.79,1.4197
7,0.51,0.8176,0.3918,0.8626,71.02,1.3789
8,0.4696,0.8328,0.3462,0.8777,70.08,1.4026
9,0.4448,0.8385,0.3032,0.8938,69.31,1.4102
10,0.4205,0.8523,0.2859,0.8954,70.01,1.389
11,0.3993,0.8579,0.2812,0.898,70.37,1.3772
12,0.3839,0.8605,0.2869,0.8974,70.35,1.3779
13,0.3721,0.8689,0.2737,0.9006,70.37,1.4167
14,0.3538,0.8726,0.2426,0.9141,70.19,1.3612
15,0.3407,0.8795,0.2053,0.924,69.8,1.3978
16,0.3217,0.8875,0.2316,0.9151,70.54,1.4099
17,0.3164,0.888,0.236,0.9162,69.83,1.4078
18,0.2991,0.8941,0.233,0.9141,69.35,1.3968
19,0.3043,0.8913,0.2058,0.924,69.55,1.3968
20,0.2862,0.8972,0.2422,0.9188,69.23,1.3842
21,0.2839,0.8977,0.1891,0.9297,70.43,1.3834
22,0.2779,0.9014,0.187,0.9375,69.15,1.3793
23,0.2707,0.9034,0.1775,0.9412,69.4,1.3822
24,0.271,0.9031,0.1837,0.937,69.62,1.3889
25,0.2734,0.9039,0.1985,0.9297,70.07,1.3971
26,0.2666,0.9073,0.2137,0.9261,69.91,1.382
27,0.2643,0.9079,0.1812,0.9396,69.57,1.4026
28,0.2658,0.9069,0.1919,0.9276,71.27,1.4058
29,0.2705,0.9028,0.1845,0.9349,73.67,1.4122
30,0.2549,0.9099,0.1818,0.937,76.73,1.4083
