epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,inf_time_ms
1,2.0725,0.2786,1.9057,0.4857,159.13,13.6739
2,1.9128,0.4981,1.8178,0.6564,158.66,13.4401
3,1.8485,0.5992,1.8461,0.5888,158.06,13.6124
4,1.8159,0.6475,1.7944,0.6814,158.68,13.6456
5,1.7951,0.6801,1.7254,0.7725,158.38,13.6123
6,1.7733,0.707,1.7466,0.7345,158.87,13.6897
7,1.7614,0.7221,1.704,0.8006,158.56,13.4265
8,1.7549,0.7312,1.7267,0.7736,158.53,13.6372
9,1.7375,0.7557,1.6904,0.8168,158.81,13.651
10,1.7267,0.7719,1.6756,0.8381,159.45,13.6166
11,1.7186,0.7806,1.6775,0.8402,159.58,13.7053
12,1.7091,0.7944,1.6704,0.8444,159.25,13.6293
13,1.6975,0.8075,1.6425,0.8876,159.74,13.6529
14,1.6914,0.8182,1.6687,0.8475,159.59,13.5736
15,1.6797,0.8355,1.6676,0.8657,159.5,13.6455
16,1.6724,0.8388,1.6399,0.8771,159.73,13.6241
17,1.6614,0.8581,1.6187,0.9037,159.3,13.6136
18,1.6532,0.8665,1.6142,0.9125,159.73,13.6655
19,1.6413,0.8824,1.6284,0.8938,159.15,13.617
20,1.6354,0.8883,1.5961,0.9313,159.62,13.6497
21,1.6253,0.9041,1.6066,0.9219,158.98,13.6292
22,1.6191,0.9116,1.5896,0.937,159.95,13.6269
23,1.612,0.9207,1.5922,0.9355,159.6,13.6645
24,1.6052,0.9281,1.585,0.9433,159.78,13.6703
25,1.5997,0.9364,1.572,0.9625,159.79,13.5671
26,1.595,0.9419,1.5727,0.961,159.9,13.6332
27,1.5916,0.9464,1.5678,0.9682,159.92,13.6267
28,1.5875,0.9526,1.5676,0.9688,159.95,13.6818
29,1.5872,0.9526,1.5617,0.9761,159.87,13.6817
30,1.587,0.9528,1.5617,0.9761,159.95,13.6959
